date,open,high,low,close,volume,market_cap
2020-09-13,0.07741,0.0847,0.07381,0.08001,727158781.9,727158781.9
2020-09-06,0.0982,0.10096,0.07189,0.07742,1244924683.4,1244924683.4
2020-08-30,0.10292,0.10651,0.09021,0.09821,848111781.1,848111781.1
2020-08-23,0.11517,0.11948,0.09701,0.10293,1378334020.8,1378334020.8
2020-08-16,0.10509,0.11587,0.09526,0.11517,1200156470.0,1200156470.0
2020-08-09,0.10262,0.11165,0.088,0.10505,1267409074.6,1267409074.6
2020-08-02,0.09902,0.11629,0.08443,0.10251,1925462355.5,1925462355.5
2020-07-26,0.10013,0.10588,0.09339,0.09902,1312772740.2,1312772740.2
2020-07-19,0.09532,0.10774,0.0854,0.1001,2729504395.4,2729504395.4
2020-07-12,0.06716,0.10144,0.0665,0.09532,3324332164.3,3324332164.3
2020-07-05,0.06424,0.07097,0.06292,0.06717,739375350.2,739375350.2
2020-06-28,0.0685,0.07256,0.0585,0.06424,598070408.6,598070408.6
2020-06-21,0.0707,0.0742,0.06562,0.0685,489643336.7,489643336.7
2020-06-14,0.07881,0.08037,0.06846,0.07077,627260883.5,627260883.5
2020-06-07,0.0705,0.08631,0.06993,0.0788,1558251348.2,1558251348.2
2020-05-31,0.06391,0.07648,0.0634,0.0705,849724258.7,849724258.7
2020-05-24,0.06874,0.07214,0.06381,0.0639,746123447.4,746123447.4
2020-05-17,0.06403,0.07167,0.06023,0.06873,993156402.4,993156402.4
2020-05-10,0.07294,0.0745,0.05873,0.06405,1208358293.0,1208358293.0
2020-05-03,0.06194,0.07713,0.06123,0.073,1735473817.4,1735473817.4
2020-04-26,0.04881,0.06629,0.04854,0.06188,1278658898.9,1278658898.9
2020-04-19,0.04892,0.05104,0.04469,0.0488,750410738.1,750410738.1
2020-04-12,0.04353,0.05252,0.04347,0.04895,1120194969.9,1120194969.9
2020-04-05,0.03773,0.04355,0.03766,0.0435,510794989.0,510794989.0
2020-03-29,0.03677,0.0434,0.03605,0.03773,569977645.4,569977645.4
2020-03-22,0.03788,0.04446,0.03156,0.03679,951092475.8,951092475.8
2020-03-15,0.04972,0.05324,0.026,0.03786,1337281098.5,1337281098.5
2020-03-08,0.05579,0.0615,0.04912,0.04969,591393251.5,591393251.5
2020-03-01,0.07299,0.07355,0.05482,0.05582,1056835978.5,1056835978.5
2020-02-23,0.07433,0.07949,0.06702,0.07299,927224981.9,927224981.9
2020-02-16,0.07328,0.08886,0.06623,0.07437,1724129061.5,1724129061.5
2020-02-09,0.06345,0.07396,0.06168,0.07327,1249876931.2,1249876931.2
2020-02-02,0.05841,0.06617,0.05763,0.06345,978277079.6,978277079.6
2020-01-26,0.06003,0.06516,0.05489,0.05841,1000943202.9,1000943202.9
2020-01-19,0.04904,0.0664,0.0476,0.06004,1424933150.0,1424933150.0
2020-01-12,0.04544,0.05103,0.04534,0.04905,487935236.4,487935236.4
2020-01-05,0.04618,0.04683,0.04324,0.04544,137027629.8,137027629.8
2019-12-29,0.04724,0.04749,0.0435,0.04619,193711942.6,193711942.6
2019-12-22,0.05096,0.05109,0.0421,0.04723,440264875.3,440264875.3
2019-12-15,0.05577,0.05618,0.05007,0.05097,187649751.2,187649751.2
2019-12-08,0.05724,0.05741,0.05357,0.0558,223633236.3,223633236.3
2019-12-01,0.05546,0.05999,0.0531,0.05723,342193316.4,342193316.4
2019-11-24,0.07158,0.0716,0.053,0.05546,537776755.6,537776755.6
2019-11-17,0.07893,0.0827,0.07033,0.07157,516046874.8,516046874.8
2019-11-10,0.06865,0.08876,0.06745,0.07892,1273233616.8,1273233616.8
2019-11-03,0.06517,0.07242,0.062,0.06863,973441344.6,973441344.6
2019-10-27,0.0632,0.0674,0.05692,0.06514,544696195.6,544696195.6
2019-10-20,0.06138,0.06675,0.06047,0.0632,383080961.3,383080961.3
2019-10-13,0.0584,0.065,0.05789,0.06136,358171404.6,358171404.6
2019-10-06,0.05792,0.06226,0.05649,0.05839,305396167.2,305396167.2
2019-09-29,0.0683,0.06914,0.05,0.05791,825700901.0,825700901.0
2019-09-22,0.05823,0.089,0.05795,0.0683,1368005975.1,1368005975.1
2019-09-15,0.061,0.06169,0.05709,0.05825,172746894.8,172746894.8
2019-09-08,0.06212,0.06409,0.05768,0.06105,110858281.8,110858281.8
2019-09-01,0.06923,0.07108,0.06011,0.06212,84306038.8,84306038.8
2019-08-25,0.07061,0.0722,0.0654,0.0694,86920071.3,86920071.3
2019-08-18,0.0782,0.07839,0.06662,0.07072,96148400.5,96148400.5
2019-08-11,0.0819,0.08436,0.07161,0.0782,170052096.5,170052096.5
2019-08-04,0.084,0.08568,0.0806,0.08183,96858696.3,96858696.3
2019-07-28,0.0911,0.09165,0.08076,0.084,131353268.3,131353268.3
2019-07-21,0.08547,0.09783,0.07567,0.09111,317781612.1,317781612.1
