date,open,high,low,close,volume,market_cap
2020-05-10,209.86,216.61,179.59,187.54,6902379.63527,6902379.63527
2020-05-03,197.39,227.3,189.29,209.86,6890363.53637,6890363.53637
2020-04-26,180.02,200.0,166.7,197.38,7306676.73642,7306676.73642
2020-04-19,158.56,189.54,148.33,180.03,6963042.65527,6963042.65527
2020-04-12,142.69,176.22,142.6,158.59,7843255.9423,7843255.9423
2020-04-05,124.47,149.76,124.06,142.68,4918442.82175,4918442.82175
2020-03-29,122.31,143.36,119.5,124.5,6613460.31407,6613460.31407
2020-03-22,123.82,152.55,101.1,122.32,11531693.7447,11531693.7447
2020-03-15,199.43,208.62,86.0,123.78,14789815.7011,14789815.7011
2020-03-08,217.81,251.93,195.5,199.43,5137680.00487,5137680.00487
2020-03-01,274.5,277.2,210.0,217.81,6457932.90023,6457932.90023
2020-02-23,258.89,285.88,242.0,274.48,5188469.50121,5188469.50121
2020-02-16,228.53,288.41,216.37,258.85,5939621.23312,5939621.23312
2020-02-09,188.48,230.65,184.69,228.49,3470997.26544,3470997.26544
2020-02-02,167.91,193.43,165.22,188.44,2832021.07663,2832021.07663
2020-01-26,166.79,171.47,155.55,167.86,2213273.18068,2213273.18068
2020-01-19,146.56,179.5,142.27,166.79,4574976.7459,4574976.7459
2020-01-12,135.37,148.05,134.86,146.54,2799620.12572,2799620.12572
2020-01-05,134.36,138.19,125.88,135.37,1795260.59717,1795260.59717
2019-12-29,132.12,138.07,121.91,134.36,1875482.03334,1875482.03334
2019-12-22,142.46,142.72,116.26,132.09,2942146.25781,2942146.25781
2019-12-15,150.44,151.19,139.24,142.46,1304567.68741,1304567.68741
2019-12-08,150.72,151.98,143.15,150.44,1730120.46013,1730120.46013
2019-12-01,139.99,157.6,131.45,150.73,2885963.25712,2885963.25712
2019-11-24,183.82,184.06,138.0,139.96,2959667.29355,2959667.29355
2019-11-17,188.96,190.19,177.67,183.82,1734302.4578,1734302.4578
2019-11-10,181.53,195.09,180.36,188.96,2195989.60819,2195989.60819
2019-11-03,183.84,192.74,177.02,181.54,2804889.93094,2804889.93094
2019-10-27,175.18,197.74,153.45,183.75,4501297.56849,4501297.56849
2019-10-20,180.98,188.37,168.66,175.22,2247422.26846,2247422.26846
2019-10-13,170.08,196.65,168.68,180.99,3056149.34901,3056149.34901
2019-10-06,169.26,185.53,165.01,170.1,2820458.56172,2820458.56172
2019-09-29,211.2,211.68,150.03,169.24,5097163.08635,5097163.08635
2019-09-22,189.05,223.94,188.3,211.2,3951341.9735,3951341.9735
2019-09-15,181.18,190.45,173.0,189.03,1826939.04547,1826939.04547
2019-09-08,170.73,184.18,165.0,181.19,2001202.34115,2001202.34115
2019-09-01,186.54,193.7,163.61,170.74,1666774.59952,1666774.59952
2019-08-25,194.32,203.59,179.53,186.54,1489606.75608,1489606.75608
2019-08-18,216.41,216.81,178.04,194.33,1449205.64889,1449205.64889
2019-08-11,221.79,239.15,202.6,216.42,1838376.65357,1838376.65357
2019-08-04,211.58,224.51,204.4,221.79,1367725.8281,1367725.8281
2019-07-28,225.49,228.34,198.24,211.62,1918512.39614,1918512.39614
2019-07-21,225.83,235.58,191.84,225.38,3702593.97392,3702593.97392
2019-07-14,304.72,318.19,222.81,225.85,2570474.77861,2570474.77861
2019-07-07,292.89,309.69,272.65,304.72,2328170.87156,2328170.87156
2019-06-30,308.42,366.8,280.01,292.7,4167486.86453,4167486.86453
2019-06-23,267.73,321.7,261.45,308.52,2733197.44329,2733197.44329
2019-06-16,231.02,277.06,227.03,267.73,2252582.27731,2252582.27731
2019-06-09,268.87,270.0,226.56,230.98,2523474.68248,2523474.68248
2019-06-02,264.35,288.62,240.14,268.88,3853966.15643,3853966.15643
2019-05-26,259.37,269.4,231.1,264.45,3669883.90618,3669883.90618
2019-05-19,188.07,279.76,185.32,259.51,6868504.39636,6868504.39636
2019-05-12,163.05,205.23,157.55,188.11,3954308.18256,3954308.18256
2019-05-05,157.86,171.3,152.0,163.05,1936000.05256,1936000.05256
2019-04-28,168.59,175.83,150.35,157.85,2351796.62105,2351796.62105
2019-04-21,167.21,176.97,155.7,168.59,2073468.55135,2073468.55135
2019-04-14,174.29,185.87,158.11,167.23,3173198.2282,3173198.2282
2019-04-07,141.41,177.81,139.57,174.21,4682350.74461,4682350.74461
2019-03-31,136.12,145.89,131.6,141.38,1527493.50939,1527493.50939
2019-03-24,138.67,142.01,131.21,136.09,1595031.95453,1595031.95453
2019-03-17,135.37,144.47,128.52,138.67,1950556.34149,1950556.34149
2019-03-10,130.6,140.29,122.6,135.37,2466852.26445,2466852.26445
2019-03-03,132.1,141.55,126.84,130.6,3202711.78874,3202711.78874
2019-02-24,133.77,166.0,131.7,132.1,5104408.79455,5104408.79455
2019-02-17,125.12,135.61,118.18,133.75,2433609.46437,2433609.46437
2019-02-10,107.33,126.49,101.21,125.12,2109564.37374,2109564.37374
2019-02-03,112.04,112.87,100.91,107.36,2164892.69065,2164892.69065
2019-01-27,117.56,119.49,111.04,112.05,1701869.00225,1701869.00225
2019-01-20,114.17,130.05,113.94,117.47,3167206.1506,3167206.1506
2019-01-13,153.89,155.48,111.87,114.16,3305739.76924,3305739.76924
2019-01-06,137.81,159.26,128.7,153.86,4742285.9092,4742285.9092
2018-12-30,129.03,157.67,111.22,137.77,6548154.0068,6548154.0068
2018-12-23,84.68,131.94,84.4,129.03,4697375.84257,4697375.84257
2018-12-16,93.26,95.21,81.79,84.67,2141950.36794,2141950.36794
2018-12-09,116.63,116.96,82.07,93.26,3788787.23257,3788787.23257
2018-12-02,118.65,126.8,102.36,116.57,3283242.23006,3283242.23006
2018-11-25,179.04,179.33,102.95,118.67,4458881.10776,4458881.10776
2018-11-18,212.6,214.22,170.99,178.97,1629773.99539,1629773.99539
2018-11-11,212.13,224.8,207.62,212.54,1153858.40192,1153858.40192
2018-11-04,204.99,218.76,193.01,212.11,754496.10693,754496.10693
