date,open,high,low,close,volume
2019-10-11,229.8,251.08,228.55,247.89,38395500.0
2019-10-04,243.0,245.95,224.28,231.43,40753300.0
2019-09-27,240.0,248.71,218.36,242.13,49659700.0
2019-09-20,246.0,248.17,238.16,240.62,23912500.0
2019-09-13,230.0,253.5,228.94,245.2,33623500.0
2019-09-06,224.08,229.8,219.21,227.45,22699800.0
2019-08-30,213.6,232.44,211.54,225.61,28193700.0
2019-08-23,224.21,229.09,211.0,211.4,32326700.0
2019-08-16,232.99,236.0,211.55,219.94,32441576.0
2019-08-09,229.6,239.8,225.75,235.01,26541500.0
2019-08-02,227.09,246.68,226.03,234.34,40956500.0
2019-07-26,258.75,266.07,222.25,228.04,55384300.0
2019-07-19,248.0,259.96,244.86,258.18,40726700.0
2019-07-12,231.24,245.38,227.28,245.08,37931900.0
2019-07-05,230.21,241.57,222.22,233.1,38763800.0
2019-06-28,223.24,227.23,217.35,223.46,33631200.0
2019-06-21,215.48,234.74,214.27,221.86,51626435.0
2019-06-14,210.25,223.38,207.51,214.92,53037700.0
2019-06-07,185.51,211.0,176.99,204.5,76614927.0
2019-05-31,191.2,195.0,184.1,185.16,40601200.0
2019-05-24,202.8,207.4,186.22,190.63,97899000.0
2019-05-17,232.01,234.5,208.92,211.03,50653200.0
2019-05-10,250.02,258.35,236.02,239.52,40861400.0
2019-05-03,235.86,256.61,231.5,255.03,78749600.0
2019-04-26,269.0,269.68,231.13,235.14,78006000.0
2019-04-18,268.63,275.0,258.63,273.26,28310000.0
2019-04-12,277.69,281.16,265.6,267.7,39957600.0
2019-04-05,282.62,296.17,260.59,274.96,58278200.0
2019-03-29,259.71,280.33,254.46,279.86,39110500.0
2019-03-22,276.0,278.05,263.46,264.53,43669700.0
2019-03-15,283.52,295.39,274.4,275.43,43600800.0
2019-03-08,298.12,299.0,270.1,284.14,64459100.0
2019-03-01,297.91,320.0,288.77,294.79,59787600.0
2019-02-22,306.56,311.54,290.5,294.71,25903940.0
2019-02-15,311.6,318.6,301.0,307.88,26888700.0
2019-02-08,312.98,324.24,298.5,305.8,31498200.0
2019-02-01,292.91,316.1,287.75,312.21,42147900.0
2019-01-25,304.82,308.0,279.28,297.04,39858500.0
2019-01-18,342.38,352.0,299.73,302.26,43823100.0
2019-01-11,321.72,348.41,317.75,347.26,31088100.0
2019-01-04,337.79,339.21,297.38,317.69,32320238.0
2018-12-28,313.5,336.24,294.09,333.87,32231292.0
2018-12-21,362.0,365.7,311.87,319.77,40109500.0
2018-12-14,360.0,377.87,353.12,365.71,31646700.0
2018-12-07,360.0,379.49,350.76,357.97,36122108.0
2018-11-30,325.0,351.6,325.0,350.48,27187800.0
2018-11-23,356.34,366.75,325.55,325.83,26599742.0
2018-11-16,348.37,355.7,330.34,354.31,29262300.0
2018-11-09,340.5,357.58,330.14,350.51,34157900.0
2018-11-02,337.47,349.2,322.26,346.41,47045100.0
2018-10-26,260.68,339.9,252.59,330.9,92952600.0
